Medication_Name,Package_Size,Max_Retailer_Price,Max_Consumer_Price,Max_Consumer_VAT_Price,Year
ABBOSYNAGIS 100MG PUL FOR INJ+SOLV,1.00,"$4,442.26","$5,219.66","$6,054.81",2012
ABBOSYNAGIS 50MG PUL FOR INJ+SOLV,1.00,"$2,571.99","$3,022.09","$3,505.63",2012
ABILIFY 10MG 28TAB,28.00,$500.36,$587.92,$681.99,2012
ABILIFY 15MG 28TAB,28.00,$484.86,$569.72,$660.87,2012
ABILIFY 30MG 28TAB,28.00,$751.80,$883.36,"$1,024.70",2012
ABILIFY 5MG 28TAB,28.00,$467.65,$549.49,$637.41,2012
ABITREN 100MG 10 SR TAB,10.00,$8.57,$11.75,$13.63,2012
ABITREN 100MG 20 SR TAB,20.00,$17.15,$23.49,$27.25,2012
ABITREN 25MG 20TAB,20.00,$4.19,$5.74,$6.66,2012
ABITREN 50MG 10SUPP,10.00,$8.01,$10.97,$12.73,2012
ABITREN INJ 75MG/3CC,5.00,$7.98,$10.94,$12.69,2012
ACERIL 12.5MG 90TAB,90.00,$20.07,$27.50,$31.90,2012
ACERIL 25MG 90TAB,90.00,$35.42,$48.53,$56.30,2012
ACERIL 50MG 90TAB,90.00,$63.70,$85.68,$99.39,2012
ACLASTA 5MG/100ML 1BOTTLE,1.00,"$1,721.87","$2,023.20","$2,346.91",2012
ACNETRIM SOL 25ML,25.00,$11.98,$16.41,$19.03,2012
ACROSE 100MG 30TAB,30.00,$23.34,$31.98,$37.10,2012
ACROSE 50MG 30TAB,30.00,$16.34,$22.38,$25.96,2012
ACTEMRA 20MG/ML 1X10ML(200mg) CONC. FOR SOLUTION FOR INF.,1.00,"$1,749.50","$2,055.66","$2,384.57",2012
ACTEMRA 20MG/ML 1X20ML(400mg) CONC. FOR SOLUTION FOR INF.,1.00,"$3,446.08","$4,049.14","$4,697.01",2012
ACTEMRA 20MG/ML 1X4ML(80mg) CONC. FOR SOLUTION FOR INF.,1.00,$707.34,$831.13,$964.11,2012
ACTIQ 1200MCG 30 COMPRESSED TAB,30.00,"$1,066.02","$1,252.57","$1,452.99",2012
ACTIQ 1600MCG 30 COMPRESSED TAB,30.00,"$1,066.02","$1,252.57","$1,452.99",2012
ACTIQ 200MCG 30 COMPRESSED TAB,30.00,$960.71,"$1,128.84","$1,309.45",2012
ACTIQ 400MCG 30 COMPRESSED TAB,30.00,$960.71,"$1,128.84","$1,309.45",2012
ACTIQ 600MCG 30 COMPRESSED TAB,30.00,$960.71,"$1,128.84","$1,309.45",2012
ACTIQ 800MCG 30 COMPRESSED TAB,30.00,$964.97,"$1,133.84","$1,315.25",2012
ACTIVELLE 28TAB,28.00,$36.10,$49.45,$57.37,2012
ACTONEL 30MG 28TAB,28.00,$646.19,$759.27,$880.75,2012
ACTONEL 5MG 28TAB,28.00,$80.74,$108.59,$125.97,2012
ACTONEL 75MG 2TAB,2.00,$91.99,$123.73,$143.52,2012
ACTONEL ONCE A WEEK 35MG 4TAB,4.00,$64.28,$86.45,$100.29,2012
ADAFERIN CREAM 0.1% 30GR,30.00,$27.88,$38.19,$44.30,2012
ADAFERINE GEL 30GR,30.00,$27.88,$38.19,$44.30,2012
ADIZEM CD 120MG 30CAP,30.00,$30.75,$42.13,$48.87,2012
ADIZEM CD 180MG 30CAP,30.00,$35.64,$48.83,$56.64,2012
ADIZEM CD 240MG 30CAP,30.00,$49.31,$66.33,$76.94,2012
AERIUS 5MG 15TAB,15.00,$21.63,$29.63,$34.37,2012
AERIUS SYRUP 0.5MG/ML 120ML,120.00,$19.08,$26.14,$30.32,2012
AEROVENT SOL 20ML,20.00,$22.04,$30.20,$35.03,2012
AFINITOR 10MG 30TABLETS,30.00,"$18,312.13","$21,516.75","$24,959.43",2012
AFINITOR 2.5MG 30TABLETS,30.00,"$7,004.04","$8,229.75","$9,546.51",2012
AFINITOR 5MG 30TABLETS,30.00,"$15,104.48","$17,747.77","$20,587.41",2012
AGGRENOX 60 CAPS,60.00,$58.80,$79.09,$91.74,2012
AGIOLAX GRANULES 200GR,200.00,$46.86,$63.03,$73.11,2012
AGISERC 16MG 30TAB,30.00,$13.74,$18.82,$21.83,2012
AGISPOR CREAM 15GR,15.00,$19.72,$27.02,$31.35,2012
AGISPOR GEL 15GR,15.00,$10.67,$14.62,$16.96,2012
AGISPOR ONYCHOSET OINT 10GR (WITH WATER PROOF PLASTERS),10.00,$97.88,$122.34,$141.92,2012
AGISPOR SOL 15ML,15.00,$13.45,$18.43,$21.37,2012
AGISTEN 1 VAGINAL TAB  0.5GR,1.00,$9.63,$13.19,$15.30,2012
AGISTEN 3 VCR 20GR 2%,20.00,$17.36,$23.78,$27.59,2012
AGISTEN 6 VAGINAL TAB 0.1GR,6.00,$11.94,$16.36,$18.98,2012
AGRIPPAL S1,1.00,$22.85,$31.31,$36.32,2012
AGRYLIN 0.5MG 100CAP,100.00,"$2,051.27","$2,410.24","$2,795.88",2012
AHISTON 2MG 20TAB,20.00,$14.23,$19.49,$22.61,2012
AKNE-MYCIN PLUS SOL 25ML,25.00,$40.94,$55.06,$63.87,2012
AKNE-MYCIN SOL 25ML,25.00,$11.98,$16.41,$19.03,2012
ALCON AZOPT 1% 5ML,5.00,$46.44,$62.46,$72.46,2012
ALDACTONE 25MG 20T,20.00,$8.58,$11.76,$13.64,2012
ALDARA 5% CREAM 12SACH,12.00,$285.30,$335.23,$388.86,2012
ALDOSPIRONE 100MG 20TAB,20.00,$15.53,$21.27,$24.68,2012
ALDOSPIRONE 25MG 20TAB,20.00,$8.58,$11.76,$13.64,2012
ALENDRONATE TEVA 10MG 30TAB,30.00,$69.67,$93.70,$108.69,2012
ALENDRONATE TEVA 70MG 4TAB,4.00,$49.28,$66.29,$76.89,2012
ALFU-KAL XL 10MG 30TAB,30.00,$57.67,$77.56,$89.98,2012
ALFUZOSIN ER TEVA 10MG 30 XR TAB,30.00,$57.67,$77.56,$89.98,2012
